         1          1         80
         1          1        326
         1          1        368
         1          1        422
         1          1        472
         1          1        570
         1          1        737
         1          1        833
         1          1        885
         1          1        899
         2          2         73
         2          2        188
         2          2        319
         2          2        456
         2          2        707
         2          2        756
         2          2        767
         2          2        825
         3          3         19
         3          3         80
         3          3        277
         3          3        720
         3          3        732
         3          3        772
         3          3        833
         3          3        876
         3          3        885
         4          4          3
         4          4         25
         4          4         80
         4          4        168
         4          4        231
         4          4        247
         4          4        259
         4          4        443
         4          4        470
         4          4        518
         4          4        571
         4          4        634
         4          4        722
         4          4        737
         4          4        756
         4          4        767
         5          5          8
         5          5         14
         5          5         66
         5          5        100
         5          5        163
         5          5        518
         5          5        782
         5          5        876
         5          5        902
         5          5        903
         6          6         73
         6          6        188
         6          6        319
         6          6        456
         6          6        707
         6          6        767
         6          6        825
         7          7         86
         7          7         97
         7          7        144
         7          7        194
         7          7        318
         7          7        387
         7          7        595
         7          7        669
         7          7        676
         7          7        794
         7          7        807
         7          7        830
         8          8         25
         8          8         40
         8          8         80
         8          8        203
         8          8        405
         8          8        414
         8          8        571
         8          8        613
         8          8        647
         8          8        780
         8          8        808
         8          8        858
         8          8        870
         8          8        944
         9          9         19
         9          9         85
         9          9        277
         9          9        472
         9          9        737
         9          9        807
         9          9        833
         9          9        885
         9          9        886
        10         10         48
        10         10         97
        10         10        144
        10         10        310
        10         10        318
        10         10        322
        10         10        336
        10         10        359
        10         10        405
        10         10        480
        10         10        518
        10         10        595
        10         10        622
        10         10        647
        10         10        685
        10         10        767
        10         10        794
        10         10        830
        10         10        870
        11         11         63
        11         11         73
        11         11        188
        11         11        432
        11         11        435
        11         11        456
        11         11        707
        11         11        729
        11         11        756
        11         11        767
        11         11        799
        11         11        825
        11         11        965
        12         12        248
        12         12        261
        12         12        395
        12         12        714
        13         13         14
        13         13         66
        13         13        163
        13         13        480
        13         13        629
        13         13        634
        13         13        902
        13         13        903
        13         13        950
        13         13        998
        14         14         80
        14         14        148
        14         14        326
        14         14        368
        14         14        422
        14         14        472
        14         14        570
        14         14        595
        14         14        732
        14         14        737
        14         14        764
        14         14        833
        14         14        876
        14         14        885
        14         14        899
        15         15          3
        15         15         19
        15         15         80
        15         15        111
        15         15        247
        15         15        277
        15         15        451
        15         15        472
        15         15        487
        15         15        488
        15         15        523
        15         15        571
        15         15        722
        15         15        732
        15         15        737
        15         15        740
        15         15        885
        16         16         14
        16         16         51
        16         16         66
        16         16         69
        16         16        163
        16         16        243
        16         16        293
        16         16        518
        16         16        600
        16         16        800
        16         16        902
        16         16        903
        17         17         36
        17         17         85
        17         17        124
        17         17        254
        17         17        404
        17         17        475
        17         17        587
        17         17        682
        17         17        827
        17         17        886
        17         17        950
        18         18          3
        18         18         28
        18         18         35
        18         18        263
        18         18        336
        18         18        518
        18         18        595
        18         18        722
        18         18        744
        18         18        764
        19         19         63
        19         19        432
        19         19        435
        19         19        729
        19         19        799
        19         19        965
        20         20         19
        20         20         79
        20         20        277
        20         20        444
        20         20        477
        20         20        668
        21         21          3
        21         21         28
        21         21         35
        21         21         48
        21         21         95
        21         21        263
        21         21        322
        21         21        326
        21         21        336
        21         21        368
        21         21        422
        21         21        480
        21         21        518
        21         21        570
        21         21        744
        21         21        899
        21         21        963
        22         22         48
        22         22         73
        22         22        188
        22         22        299
        22         22        319
        22         22        456
        22         22        497
        22         22        595
        22         22        707
        22         22        756
        22         22        764
        22         22        767
        22         22        797
        22         22        825
        22         22        910
        23         23         12
        23         23         51
        23         23         69
        23         23        243
        23         23        293
        23         23        299
        23         23        326
        23         23        368
        23         23        422
        23         23        570
        23         23        600
        23         23        800
        23         23        899
        24         24         19
        24         24         36
        24         24        277
        24         24        569
        24         24        662
        24         24        845
        24         24        904
        24         24        994
        25         25         80
        25         25        168
        25         25        231
        25         25        472
        25         25        732
        25         25        737
        25         25        756
        25         25        885
        26         26          3
        26         26         97
        26         26        111
        26         26        144
        26         26        318
        26         26        451
        26         26        487
        26         26        488
        26         26        523
        26         26        595
        26         26        622
        26         26        705
        26         26        713
        26         26        794
        26         26        830
        26         26        870
        27         27        104
        27         27        371
        27         27        471
        27         27        705
        27         27        764
        27         27        973
        28         28          3
        28         28         28
        28         28         35
        28         28        111
        28         28        263
        28         28        336
        28         28        451
        28         28        487
        28         28        488
        28         28        518
        28         28        523
        28         28        744
        29         29         86
        29         29        168
        29         29        194
        29         29        387
        29         29        669
        29         29        676
        29         29        713
        29         29        737
        29         29        756
        29         29        807
        30         30          8
        30         30        100
        30         30        248
        30         30        261
        30         30        395
        30         30        714
        30         30        782
        30         30        876
        31         31        203
        31         31        210
        31         31        475
        31         31        613
        31         31        623
        31         31        647
        31         31        714
        31         31        778
        32         32         19
        32         32         48
        32         32         69
        32         32        259
        32         32        277
        32         32        299
        32         32        449
        32         32        491
        32         32        649
        32         32        662
        32         32        720
        32         32        782
        32         32        797
        32         32        800
        32         32        874
        33         33         19
        33         33        248
        33         33        277
        33         33        395
        34         34         80
        34         34        404
        34         34        472
        34         34        475
        34         34        732
        34         34        737
        34         34        885
        35         35         23
        35         35        210
        35         35        553
        35         35        565
        35         35        623
        35         35        714
        35         35        720
        35         35        778
        35         35        800
        35         35        846
        36         36         19
        36         36         48
        36         36        277
        36         36        293
        36         36        322
        36         36        480
        36         36        506
        36         36        647
        36         36        963
        37         37         12
        37         37         51
        37         37         69
        37         37        243
        37         37        293
        37         37        299
        37         37        600
        37         37        800
        38         38        119
        38         38        291
        38         38        472
        38         38        528
        38         38        634
        38         38        837
        39         39         79
        39         39        444
        39         39        477
        39         39        668
        39         39        899
        39         39        961
        40         40         19
        40         40         69
        40         40        210
        40         40        277
        40         40        623
        40         40        662
        40         40        714
        40         40        778
        41         41          3
        41         41         25
        41         41         80
        41         41        148
        41         41        414
        41         41        571
        41         41        722
        41         41        772
        41         41        808
        41         41        870
        41         41        876
        42         42          3
        42         42        210
        42         42        318
        42         42        331
        42         42        350
        42         42        402
        42         42        610
        42         42        623
        42         42        714
        42         42        722
        42         42        778
        43         43          3
        43         43         28
        43         43         35
        43         43        263
        43         43        336
        43         43        518
        43         43        744
        44         44         14
        44         44         66
        44         44         80
        44         44        163
        44         44        472
        44         44        518
        44         44        732
        44         44        737
        44         44        833
        44         44        885
        44         44        961
        45         45          3
        45         45         97
        45         45        111
        45         45        144
        45         45        318
        45         45        451
        45         45        487
        45         45        488
        45         45        523
        45         45        595
        45         45        622
        45         45        794
        45         45        830
        45         45        870
        46         46          3
        46         46         14
        46         46         28
        46         46         35
        46         46         66
        46         46        163
        46         46        263
        46         46        336
        46         46        518
        46         46        744
        46         46        902
        46         46        903
        47         47         80
        47         47        472
        47         47        732
        47         47        737
        47         47        833
        47         47        885
        48         48         42
        48         48        212
        48         48        238
        48         48        259
